Time NY                 | Side  | Qty | Price    | InternalOID     | OrderID         | PosAfter   | Msg
19:01:42.504            | BUY   | 1   | 24921.5  | 20088770        | 36779254.1      | -3         | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:01:51.397            | BUY   | 1   | 24914.0  | 20088771        | 36779255.1      | -2         | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:02:52.930            | BUY   | 1   | 24919.5  | 20088803        | 36779322.1      | -1         | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:13:26.339            | BUY   | 3   | 24936.25 | 20088895        | 36779472.1      | 3          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:14:07.628            | SELL  | 1   | 24943.25 | 20088897        | 36779474.1      | 3          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:16:30.482            | SELL  | 1   | 24952.0  | 20088898        | 36779475.1      | 2          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:17:13.759            | SELL  | 1   | 24956.0  | 20089026        | 36779622.1      | 1          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:46:17.400            | BUY   | 3   | 24966.5  | 20089278        | 36779942.1      | 3          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:46:58.998            | SELL  | 1   | 24973.75 | 20089280        | 36779944.1      | 3          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:48:59.020            | SELL  | 1   | 24982.75 | 20089281        | 36779945.1      | 2          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
19:54:06.275            | SELL  | 1   | 24986.75 | 20089295        | 36779959.1      | 1          | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
20:05:02.889            | SELL  | 3   | 24973.0  | 20089404        | 36780080.1      | -3         | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
20:06:16.209            | BUY   | 1   | 24965.75 | 20089410        | 36780086.1      | -3         | Trading Evaluator (Filled). Info: Trade simulation fill. Bid
