SECTION: CLEAN STRATEGY-BASED TRADES (Ghost Fills Removed)
Date,Trade_#,Direction,Qty,Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL_Points,PnL_Dollars,Cum_PnL_Dollars,Duration_Min
2026-06-10,1,BUY,3,?,?,24465.0,24438.0,-27.0,-1620.0,-1620.0,0.0
2026-06-10,2,SELL,3,?,?,24269.0,24307.0,-38.0,-2280.0,-3900.0,0.0
2026-06-10,3,SELL,1,?,?,24292.0,24267.0,25.0,500.0,-3400.0,0.0
2026-06-10,4,SELL,2,?,?,24292.0,24262.0,30.0,1200.0,-2200.0,0.0
2026-06-10,5,SELL,1,?,?,24272.0,24241.0,31.0,620.0,-1580.0,0.0
2026-06-10,6,SELL,1,?,?,24272.0,24209.0,63.0,1260.0,-320.0,0.0
2026-06-10,7,SELL,1,?,?,24272.0,24233.0,39.0,780.0,460.0,0.0
2026-06-10,8,SELL,1,?,?,24170.0,24138.0,32.0,640.0,1100.0,0.0
2026-06-10,9,SELL,1,?,?,24170.0,24100.0,70.0,1400.0,2500.0,0.0
2026-06-10,10,SELL,1,?,?,24170.0,24080.0,90.0,1800.0,4300.0,0.0
2026-06-10,11,SELL,3,?,?,24142.0,24169.0,-27.0,-1620.0,2680.0,0.0
2026-06-10,12,SELL,1,?,?,24193.0,24161.0,32.0,640.0,3320.0,0.0
2026-06-10,13,SELL,1,?,?,24193.0,24112.0,81.0,1620.0,4940.0,0.0
2026-06-10,14,SELL,1,?,?,24193.0,24131.0,62.0,1240.0,6180.0,0.0
2026-06-10,15,BUY,2,?,?,24131.0,24126.0,-5.0,-200.0,5980.0,0.0
2026-06-10,16,SELL,1,?,?,24126.0,24159.0,-33.0,-660.0,5320.0,0.0
2026-06-10,17,BUY,2,?,?,24159.0,24237.0,78.0,3120.0,8440.0,0.0
2026-06-10,18,SELL,1,?,?,24237.0,24271.0,-34.0,-680.0,7760.0,0.0
2026-06-10,19,BUY,2,?,?,24271.0,24276.0,5.0,200.0,7960.0,0.0
2026-06-10,20,SELL,1,?,?,24276.0,24330.0,-54.0,-1080.0,6880.0,0.0
2026-06-10,21,BUY,2,?,?,24330.0,24314.0,-16.0,-640.0,6240.0,0.0
2026-06-10,22,SELL,1,?,?,24314.0,24338.0,-24.0,-480.0,5760.0,0.0
2026-06-10,23,BUY,2,?,?,24338.0,24319.0,-19.0,-760.0,5000.0,0.0
2026-06-10,24,SELL,1,?,?,24319.0,24342.0,-23.0,-460.0,4540.0,0.0
2026-06-10,25,BUY,2,?,?,24342.0,24326.0,-16.0,-640.0,3900.0,0.0
2026-06-10,26,SELL,1,?,?,24326.0,24290.0,36.0,720.0,4620.0,0.0
2026-06-10,27,BUY,2,?,?,24298.0,24282.0,-16.0,-640.0,3980.0,0.0
